t0_command_sent,t1_movement_start,t2_goal_reached,current_time,x,y,yaw,V0_linear,V0_angular,Vdesired_linear,Vdesired_angular,current_linear,current_angular
1747997332.414,1747997332.452,1747997332.709,1747997333.345,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997333.366,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997333.387,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997333.408,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997333.432,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997333.453,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997333.474,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997333.496,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997333.517,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997333.539,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997333.560,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997333.580,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997333.607,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997333.628,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997333.650,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997333.672,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997333.693,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997333.719,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997333.741,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997333.762,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997333.783,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997333.804,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997333.830,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997333.851,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997333.873,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997333.894,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
