time_stamp,robot_x,robot_y,robot_yaw,selected_goal_x,selected_goal_y,final_goal_x,final_goal_y,linear_vel,angular_vel,actual_linear_vel,actual_angular_vel
10.341,0.764823,1.83075e-12,4.51224e-10,1.49882,0.0428451,2.48864,0.0615905,0.6,0,0.6,0
10.374,0.777424,9.33379e-13,3.39197e-10,1.50122,0.0431404,2.47604,0.0615905,0.6,0,0.6,0
10.398,0.802624,5.14978e-14,2.02375e-10,1.50601,0.0437272,2.48084,0.0621499,0.6,0,0.6,0
10.428,0.815223,-9.27111e-14,1.61852e-10,1.52341,0.0443122,2.48324,0.0624287,0.6,0,0.6,0
10.455,0.840423,-1.27424e-13,1.01533e-10,1.5282,0.0448936,2.48803,0.0629881,0.6,0,0.6,0
10.497,0.853024,-2.89016e-14,8.20295e-11,1.52141,0.0455104,2.4812,0.0653504,0.6,0,0.6,0
10.524,0.867425,-6.50696e-13,6.95475e-11,1.51012,0.0528011,2.48491,0.0733168,0.6,0,0.6,0
10.56,0.903432,-6.88685e-12,5.24203e-11,1.50411,0.0534573,2.47889,0.0739382,0.6,0,0.6,0
10.602,0.916024,7.30574e-13,3.80527e-11,1.50651,0.0537845,2.4813,0.0742471,0.6,0,0.6,0
10.626,0.941224,1.44254e-12,3.20464e-11,1.5113,0.054437,2.48609,0.0748667,0.6,0,0.6,0
10.662,0.953823,1.76072e-12,2.96203e-11,1.49871,0.054437,2.48849,0.0751773,0.6,0,0.6,0
10.692,0.979023,2.49312e-12,2.69367e-11,1.5035,0.0550859,2.47829,0.0754862,0.6,0,0.6,0
10.755,0.998829,-4.71474e-13,2.63269e-11,1.49869,0.0554094,2.48847,0.0761058,0.6,0,0.6,0
10.761,1.02942,3.81175e-12,2.42899e-11,1.52808,0.0566998,2.48787,0.0767253,0.6,0,0.6,0
10.824,1.04743,1.92213e-12,2.40719e-11,1.55507,0.0576593,2.48487,0.0770342,0.6,0,0.6,0
10.857,1.06722,4.74095e-12,2.35074e-11,1.56527,0.0581086,2.48007,0.0773321,0.6,0,0.6,0
10.893,1.09242,5.30518e-12,2.32085e-11,1.60005,0.05941,2.48486,0.0779517,0.6,0,0.6,0
10.914,1.11762,5.84593e-12,2.30371e-11,1.62323,0.0557065,2.4782,0.0633311,0.6,0,0.6,0
10.953,1.13202,5.53729e-12,2.29723e-11,1.63883,0.0559914,2.47879,0.0634616,0.6,0,0.6,0
10.968,1.14282,6.4122e-12,2.29261e-11,1.64303,0.0561329,2.48299,0.0635903,0.6,0,0.6,0
11.001,1.15542,6.62098e-12,2.28901e-11,1.66043,0.0564122,2.48539,0.0637208,0.6,0,0.6,0
11.04,1.18062,7.25792e-12,2.28386e-11,1.68022,0.0568294,2.47519,0.0638495,0.6,0,0.6,0
11.055,1.20582,7.93736e-12,2.27982e-11,1.71502,0.0573808,2.47999,0.0641087,0.6,0,0.6,0
11.088,1.20582,7.93736e-12,2.27982e-11,1.71502,0.0573808,2.47999,0.0641087,0.6,0,0.6,0
11.121,1.24003,5.29333e-12,2.27658e-11,1.74081,0.0579248,2.47578,0.0643679,0.6,0,0.6,0
11.16,1.25622,9.3181e-12,2.274e-11,1.76987,0.0282571,2.47485,0.0344885,0.6,0,0.6,0
11.181,1.26882,9.64155e-12,2.27289e-11,1.77227,0.0283949,2.47725,0.034619,0.6,0,0.6,0
11.223,1.29402,1.02619e-11,2.27116e-11,1.80707,0.0289408,2.48204,0.0348783,0.6,0,0.6,0
11.262,1.31922,1.0872e-11,2.27027e-11,1.82687,0.0293488,2.48684,0.0351375,0.6,0,0.6,0
11.289,1.34442,1.14394e-11,2.26987e-11,1.84667,0.0297532,2.47664,0.035268,0.6,0,0.6,0
11.322,1.34803,1.04599e-11,2.26965e-11,1.8593,0.0320707,2.48927,0.0380395,0.6,0,0.6,0
11.361,1.38402,1.18272e-11,2.2697e-11,1.89494,0.0538968,2.47986,0.0634815,0.6,0,0.6,0
11.4,1.40743,8.18701e-12,2.26907e-11,1.91653,0.0546403,2.48645,0.0639686,0.6,0,0.6,0
11.451,1.42002,1.30453e-11,2.27036e-11,1.91893,0.0548875,2.48886,0.064214,0.6,0,0.6,0
11.481,1.44522,1.37396e-11,2.27041e-11,1.95372,0.0558764,2.47865,0.0644576,0.6,0,0.6,0
11.508,1.45782,1.40572e-11,2.27036e-11,1.95612,0.0561236,2.48105,0.0647011,0.6,0,0.6,0
11.526,1.48302,1.47405e-11,2.26974e-11,1.99092,0.0570594,2.48585,0.0651791,0.6,0,0.6,0
11.568,1.49562,1.50537e-11,2.26934e-11,1.99331,0.0573066,2.48825,0.0654245,0.6,0,0.6,0
11.604,1.52082,1.56956e-11,2.26867e-11,0.963279,0.0390788,2.47805,0.0656681,0.6,0,0.6,0
11.622,1.54602,1.63039e-11,2.26801e-11,0.953077,0.0394121,2.48284,0.066157,0.6,0,0.6,0
11.661,1.56403,1.53752e-11,2.26779e-11,0.935072,0.0394121,2.47984,0.0664024,0.6,0,0.6,0
11.694,1.58382,1.71838e-11,2.26748e-11,0.90028,0.0390788,2.47504,0.066646,0.6,0,0.6,0
11.721,1.59642,1.74722e-11,2.26752e-11,0.887679,0.0390788,2.47744,0.0668914,0.6,0,0.6,0
11.751,1.62162,1.80255e-11,2.26748e-11,0.873052,0.0541363,2.47775,0.0852849,0.6,0,0.6,0
11.79,1.63422,1.83031e-11,2.26765e-11,0.860452,0.0541363,2.48015,0.0855574,0.6,0,0.6,0
11.82,1.64682,1.85934e-11,2.26779e-11,0.862847,0.0544984,2.48254,0.0858317,0.6,0,0.6,0
11.838,1.67202,1.91016e-11,2.26801e-11,0.813542,0.0223817,2.47819,0.0561963,0.6,0,0.6,0
11.874,1.67202,1.91016e-11,2.26801e-11,0.813542,0.0223817,2.47819,0.0561963,0.6,0,0.6,0
11.904,1.69722,1.97667e-11,2.26827e-11,0.803335,0.0228207,2.48299,0.0567431,0.6,0,0.6,0
11.937,1.72242,2.04145e-11,2.26779e-11,0.79313,0.0232488,2.48778,0.0572898,0.6,0,0.6,0
11.961,1.73502,2.07333e-11,2.26765e-11,0.750542,0.0223817,2.47518,0.0572898,0.584793,0.0504885,0.6,0
11.988,1.76022,2.13572e-11,2.2669e-11,0.740335,0.0228207,2.47998,0.0578366,0.579266,0.0688384,0.584793,0.0504885
12.021,1.77282,2.16646e-11,2.26645e-11,0.727736,0.0228207,2.48238,0.058109,0.575679,0.0807486,0.579266,0.0688384
12.045,1.79782,5.52435e-06,0.000422606,0.717745,0.02294,2.4874,0.0575991,0.574901,0.0833284,0.575679,0.0807486
12.081,1.81005,2.44789e-05,0.00141002,0.675548,0.0214047,2.47522,0.0551412,0.571523,0.0580008,0.574901,0.0833284
12.093,1.83426,0.000121719,0.0046161,0.666396,0.0196231,2.48117,0.047628,0.563902,0.0575663,0.571523,0.0580008
12.162,1.84632,0.000203027,0.00649803,0.654367,0.018366,2.48419,0.0431306,0.553841,0.0542679,0.563902,0.0575663
12.183,1.88205,0.000545622,0.0111318,0.623204,-0.0276211,2.48309,-0.046321,0.528094,-0.152871,0.553841,0.0542679
12.216,1.88379,0.000565055,0.011314,0.606454,-0.0278693,2.48133,-0.0467731,0.514595,-0.150069,0.528094,-0.152871
12.249,1.89386,0.000687518,0.0124292,0.611356,-0.0284247,2.48621,-0.0497583,0.51871,-0.151568,0.514595,-0.150069
12.285,1.9279,0.00109082,0.0110911,0.577349,-0.0276324,2.48223,-0.0468598,0.490328,-0.150634,0.51871,-0.151568
12.321,1.93877,0.00115865,0.00772129,0.566571,-0.0256706,2.4865,-0.0386306,0.481285,-0.142887,0.490328,-0.150634
12.342,1.96036,0.00117583,0.000165327,0.530158,-0.0217047,2.48013,-0.0198919,0.450756,-0.12759,0.481285,-0.142887
12.375,1.97081,0.00113154,-0.00359511,0.534784,-0.0193456,2.48474,-0.0105407,0.454534,-0.117222,0.450756,-0.12759
12.414,1.99121,0.000947673,-0.0107828,0.514503,-0.0155375,2.47934,0.00741033,0.437476,-0.10059,0.454534,-0.117222
12.444,2.00085,0.000818261,-0.0140075,0.519902,-0.0133838,2.48467,0.0155742,0.441911,-0.0915228,0.437476,-0.10059
12.483,2.0198,0.000492135,-0.0195512,0.516003,-0.00998651,2.48059,0.0295628,0.438573,-0.0763878,0.441911,-0.0915228
12.507,2.03823,9.4152e-05,-0.0239965,0.52181,0.0184413,2.48604,0.0710606,0.44371,0.0658658,0.438573,-0.0763878
12.561,2.04743,-0.000130318,-0.0258935,0.512574,0.0194174,2.4767,0.0757627,0.435976,0.0681113,0.44371,0.0658658
12.582,2.06584,-0.000618094,-0.0281799,0.519606,-0.01257,2.48438,0.0137573,0.441011,-0.0973313,0.435976,0.0681113
12.606,2.08434,-0.00107725,-0.0256391,0.514934,-0.0215912,2.47985,-0.00860833,0.437434,-0.138001,0.441011,-0.0973313
12.63,2.0857,-0.0011121,-0.0255201,0.513572,-0.0216524,2.47849,-0.00890332,0.436414,-0.137756,0.437434,-0.138001
12.654,2.0935,-0.00128161,-0.0237811,0.520725,-0.0220964,2.48567,-0.0132221,0.442415,-0.140048,0.436414,-0.137756
12.684,2.11186,-0.00170529,-0.0242136,0.517356,-0.0214555,2.4823,-0.0121561,0.439593,-0.135809,0.442415,-0.140048
12.714,2.12102,-0.00195252,-0.0268791,0.52325,-0.0196204,2.48817,-0.00548453,0.444446,-0.128611,0.439593,-0.135809
12.741,2.13016,-0.00223049,-0.0300145,0.514158,-0.0179764,2.47902,0.00232009,0.436783,-0.119926,0.444446,-0.128611
12.78,2.14865,-0.00288154,-0.0366326,0.510753,-0.0140282,2.47545,0.018898,0.433834,-0.102887,0.436783,-0.119926
12.822,2.16716,-0.00363986,-0.0427296,0.522276,-0.00968302,2.48676,0.0345387,0.443349,-0.0862738,0.433834,-0.102887
12.84,2.19071,-0.00473346,-0.0493497,0.513136,0.0201706,2.47712,0.0813009,0.436539,0.0659654,0.443349,-0.0862738
12.87,2.19456,-0.00493014,-0.0502888,0.509258,0.0206552,2.48818,0.0840347,0.433223,0.0662064,0.436539,0.0659654
12.903,2.20366,-0.00539793,-0.0524817,0.515066,0.0227555,2.47888,0.0894805,0.43814,0.074353,0.433223,0.0662064
12.942,2.22207,-0.00638494,-0.0549265,0.511537,0.0249888,2.47521,0.0959899,0.43529,0.0860189,0.43814,0.074353
12.978,2.24028,-0.00733035,-0.0524506,0.52331,0.0255266,2.48719,0.0907234,0.445117,0.086429,0.43529,0.0860189
13.02,2.2586,-0.00821933,-0.0486206,0.510422,-0.00167486,2.47498,0.0375634,0.433197,-0.0468006,0.445117,0.086429
